,BTC-USD,ETH-USD,XRP-USD,BCH-USD,LTC-USD
BTC-USD,1.0,0.8889778278658378,0.8592579749576577,0.8893521940734791,0.9456163956984237
ETH-USD,0.8889778278658378,1.0,0.8930210300063697,0.8781935839536683,0.9217688804245187
XRP-USD,0.8592579749576577,0.8930210300063697,1.0,0.7668014192355863,0.8827947359242478
BCH-USD,0.8893521940734791,0.8781935839536683,0.7668014192355863,1.0,0.8651111435022846
LTC-USD,0.9456163956984237,0.9217688804245187,0.8827947359242478,0.8651111435022846,1.0
